SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
1:0.25 (rep 3),1-Compress,0,3.626,0,0.038,,0,483.831,,0,0.483831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.033,3.624,0.002,0.038,,0.000551572,483.831,,0.0551572,0.483831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.067,3.622,0.004,0.032,,0.00110314,407.437,,0.110314,0.407437,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.1,3.619,0.007,0.025,,0.0019305,318.31,,0.19305,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.133,3.617,0.009,0.025,,0.00248207,318.31,,0.248207,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.167,3.614,0.012,0.018,,0.00330943,229.183,,0.330943,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.2,3.612,0.014,0.018,,0.003861,229.183,,0.3861,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.233,3.61,0.016,0.018,,0.00441258,229.183,,0.441258,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.267,3.607,0.019,0.025,,0.00523993,318.31,,0.523993,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.3,3.605,0.021,0.032,,0.00579151,407.437,,0.579151,0.407437,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.333,3.603,0.023,0.032,,0.00634308,407.437,,0.634308,0.407437,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.367,3.6,0.026,0.025,,0.00717044,318.31,,0.717044,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.4,3.597,0.029,0.025,,0.00799779,318.31,,0.799779,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.433,3.595,0.031,0.025,,0.00854937,318.31,,0.854937,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.467,3.593,0.033,0.018,,0.00910094,229.183,,0.910094,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.5,3.59,0.036,0.018,,0.0099283,229.183,,0.99283,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.533,3.588,0.038,0.018,,0.0104799,229.183,,1.04799,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.567,3.585,0.041,0.018,,0.0113072,229.183,,1.13072,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.6,3.583,0.043,0.025,,0.0118588,318.31,,1.18588,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.633,3.581,0.045,0.025,,0.0124104,318.31,,1.24104,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.667,3.578,0.048,0.032,,0.0132377,407.437,,1.32377,0.407437,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.7,3.576,0.05,0.032,,0.0137893,407.437,,1.37893,0.407437,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.733,3.574,0.052,0.025,,0.0143409,318.31,,1.43409,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.767,3.571,0.055,0.018,,0.0151682,229.183,,1.51682,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.8,3.568,0.058,0.018,,0.0159956,229.183,,1.59956,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.833,3.566,0.06,0.018,,0.0165472,229.183,,1.65472,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.867,3.564,0.062,0.018,,0.0170987,229.183,,1.70987,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.9,3.561,0.065,0.025,,0.0179261,318.31,,1.79261,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.933,3.559,0.067,0.032,,0.0184777,407.437,,1.84777,0.407437,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,0.967,3.556,0.07,0.038,,0.019305,483.831,,1.9305,0.483831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,1,3.554,0.072,0.032,,0.0198566,407.437,,1.98566,0.407437,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,1.033,3.552,0.074,0.025,,0.0204082,318.31,,2.04082,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,1.067,3.549,0.077,0.025,,0.0212355,318.31,,2.12355,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,1.1,3.547,0.079,0.025,,0.0217871,318.31,,2.17871,0.31831,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,1.133,3.545,0.081,0.018,,0.0223387,229.183,,2.23387,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,1.167,3.542,0.084,0.018,,0.023166,229.183,,2.3166,0.229183,,,,7.85398e-5
1:0.25 (rep 3),1-Compress,1.2,3.539,0.087,0.018,,0.0239934,229.183,,2.39934,0.229183,,,,7.85398e-5
