SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
1:0.25 (rep 2),1-Compress,0,3.181,0,0.05,,0,636.62,,0,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.033,3.18,0.001,0.05,,0.000314367,636.62,,0.0314367,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.067,3.177,0.004,0.05,,0.00125747,636.62,,0.125747,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.1,3.175,0.006,0.05,,0.0018862,636.62,,0.18862,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.133,3.173,0.008,0.05,,0.00251493,636.62,,0.251493,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.167,3.171,0.01,0.05,,0.00314367,636.62,,0.314367,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.2,3.169,0.012,0.05,,0.0037724,636.62,,0.37724,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.233,3.167,0.014,0.05,,0.00440113,636.62,,0.440113,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.267,3.164,0.017,0.05,,0.00534423,636.62,,0.534423,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.3,3.162,0.019,0.05,,0.00597296,636.62,,0.597296,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.333,3.16,0.021,0.05,,0.0066017,636.62,,0.66017,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.367,3.158,0.023,0.05,,0.00723043,636.62,,0.723043,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.4,3.156,0.025,0.05,,0.00785916,636.62,,0.785916,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.433,3.154,0.027,0.05,,0.0084879,636.62,,0.84879,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.467,3.152,0.029,0.05,,0.00911663,636.62,,0.911663,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.5,3.15,0.031,0.05,,0.00974536,636.62,,0.974536,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.533,3.148,0.033,0.05,,0.0103741,636.62,,1.03741,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.567,3.145,0.036,0.05,,0.0113172,636.62,,1.13172,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.6,3.143,0.038,0.05,,0.0119459,636.62,,1.19459,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.633,3.141,0.04,0.05,,0.0125747,636.62,,1.25747,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.667,3.139,0.042,0.05,,0.0132034,636.62,,1.32034,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.7,3.137,0.044,0.05,,0.0138321,636.62,,1.38321,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.733,3.135,0.046,0.05,,0.0144609,636.62,,1.44609,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.767,3.133,0.048,0.05,,0.0150896,636.62,,1.50896,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.8,3.131,0.05,0.05,,0.0157183,636.62,,1.57183,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.833,3.129,0.052,0.05,,0.0163471,636.62,,1.63471,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.867,3.126,0.055,0.05,,0.0172902,636.62,,1.72902,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.9,3.124,0.057,0.057,,0.0179189,725.747,,1.79189,0.725747,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.933,3.122,0.059,0.057,,0.0185476,725.747,,1.85476,0.725747,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,0.967,3.119,0.062,0.057,,0.0194907,725.747,,1.94907,0.725747,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1,3.118,0.063,0.05,,0.0198051,636.62,,1.98051,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.033,3.116,0.065,0.05,,0.0204338,636.62,,2.04338,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.067,3.114,0.067,0.05,,0.0210626,636.62,,2.10626,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.1,3.112,0.069,0.05,,0.0216913,636.62,,2.16913,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.133,3.11,0.071,0.05,,0.02232,636.62,,2.232,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.167,3.107,0.074,0.057,,0.0232631,725.747,,2.32631,0.725747,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.2,3.105,0.076,0.05,,0.0238919,636.62,,2.38919,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.233,3.103,0.078,0.043,,0.0245206,547.493,,2.45206,0.547493,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.267,3.1,0.081,0.05,,0.0254637,636.62,,2.54637,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.3,3.099,0.082,0.05,,0.0257781,636.62,,2.57781,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.333,3.097,0.084,0.05,,0.0264068,636.62,,2.64068,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.367,3.094,0.087,0.05,,0.0273499,636.62,,2.73499,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.4,3.092,0.089,0.05,,0.0279786,636.62,,2.79786,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.433,3.09,0.091,0.05,,0.0286074,636.62,,2.86074,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.467,3.088,0.093,0.05,,0.0292361,636.62,,2.92361,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.5,3.086,0.095,0.05,,0.0298648,636.62,,2.98648,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.533,3.084,0.097,0.043,,0.0304936,547.493,,3.04936,0.547493,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.567,3.082,0.099,0.05,,0.0311223,636.62,,3.11223,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.6,3.08,0.101,0.05,,0.031751,636.62,,3.1751,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.633,3.078,0.103,0.05,,0.0323798,636.62,,3.23798,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.667,3.075,0.106,0.05,,0.0333229,636.62,,3.33229,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.7,3.073,0.108,0.05,,0.0339516,636.62,,3.39516,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.733,3.071,0.11,0.05,,0.0345803,636.62,,3.45803,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.767,3.069,0.112,0.05,,0.0352091,636.62,,3.52091,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.8,3.067,0.114,0.05,,0.0358378,636.62,,3.58378,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.833,3.065,0.116,0.05,,0.0364665,636.62,,3.64665,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.867,3.062,0.119,0.05,,0.0374096,636.62,,3.74096,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.9,3.061,0.12,0.05,,0.037724,636.62,,3.7724,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.933,3.059,0.122,0.05,,0.0383527,636.62,,3.83527,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,1.967,3.056,0.125,0.05,,0.0392958,636.62,,3.92958,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2,3.054,0.127,0.05,,0.0399246,636.62,,3.99246,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.033,3.052,0.129,0.05,,0.0405533,636.62,,4.05533,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.067,3.05,0.131,0.05,,0.041182,636.62,,4.1182,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.1,3.048,0.133,0.05,,0.0418108,636.62,,4.18108,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.133,3.046,0.135,0.05,,0.0424395,636.62,,4.24395,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.167,3.043,0.138,0.057,,0.0433826,725.747,,4.33826,0.725747,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.2,3.042,0.139,0.057,,0.043697,725.747,,4.3697,0.725747,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.233,3.04,0.141,0.057,,0.0443257,725.747,,4.43257,0.725747,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.267,3.037,0.144,0.05,,0.0452688,636.62,,4.52688,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.3,3.035,0.146,0.05,,0.0458975,636.62,,4.58975,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.333,3.033,0.148,0.05,,0.0465262,636.62,,4.65262,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.367,3.03,0.151,0.05,,0.0474693,636.62,,4.74693,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.4,3.028,0.153,0.05,,0.0480981,636.62,,4.80981,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.433,3.026,0.155,0.05,,0.0487268,636.62,,4.87268,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.467,3.024,0.157,0.05,,0.0493555,636.62,,4.93555,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.5,3.022,0.159,0.05,,0.0499843,636.62,,4.99843,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.533,3.02,0.161,0.05,,0.050613,636.62,,5.0613,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.567,3.018,0.163,0.05,,0.0512417,636.62,,5.12417,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.6,3.016,0.165,0.05,,0.0518705,636.62,,5.18705,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.633,3.014,0.167,0.05,,0.0524992,636.62,,5.24992,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.667,3.011,0.17,0.05,,0.0534423,636.62,,5.34423,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.7,3.009,0.172,0.05,,0.054071,636.62,,5.4071,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.733,3.008,0.173,0.05,,0.0543854,636.62,,5.43854,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.767,3.005,0.176,0.05,,0.0553285,636.62,,5.53285,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.8,3.003,0.178,0.057,,0.0559572,725.747,,5.59572,0.725747,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.833,3.001,0.18,0.057,,0.056586,725.747,,5.6586,0.725747,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.867,2.999,0.182,0.057,,0.0572147,725.747,,5.72147,0.725747,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.9,2.997,0.184,0.05,,0.0578434,636.62,,5.78434,0.63662,,,,7.85398e-5
1:0.25 (rep 2),1-Compress,2.933,2.995,0.186,0.05,,0.0584722,636.62,,5.84722,0.63662,,,,7.85398e-5
