SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
1:1 (rep 1),1-Compress,0,2.698,0,-0.004,,0,-50.9296,,0,-0.0509296,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.033,2.696,0.002,-0.004,,0.00074129,-50.9296,,0.074129,-0.0509296,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.067,2.694,0.004,0.009,,0.00148258,114.592,,0.148258,0.114592,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.1,2.693,0.005,0.023,,0.00185322,292.845,,0.185322,0.292845,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.133,2.691,0.007,0.023,,0.00259451,292.845,,0.259451,0.292845,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.167,2.689,0.009,0.023,,0.0033358,292.845,,0.33358,0.292845,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.2,2.687,0.011,0.03,,0.00407709,381.972,,0.407709,0.381972,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.233,2.686,0.012,0.03,,0.00444774,381.972,,0.444774,0.381972,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.267,2.684,0.014,0.043,,0.00518903,547.493,,0.518903,0.547493,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.3,2.682,0.016,0.036,,0.00593032,458.366,,0.593032,0.458366,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.333,2.681,0.017,0.016,,0.00630096,203.718,,0.630096,0.203718,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.367,2.678,0.02,0.009,,0.0074129,114.592,,0.74129,0.114592,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.4,2.677,0.021,0.009,,0.00778354,114.592,,0.778354,0.114592,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.433,2.675,0.023,0.016,,0.00852483,203.718,,0.852483,0.203718,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.467,2.673,0.025,0.036,,0.00926612,458.366,,0.926612,0.458366,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.5,2.671,0.027,0.036,,0.0100074,458.366,,1.00074,0.458366,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.533,2.669,0.029,0.03,,0.0107487,381.972,,1.07487,0.381972,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.567,2.667,0.031,0.023,,0.01149,292.845,,1.149,0.292845,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.6,2.666,0.032,0.016,,0.0118606,203.718,,1.18606,0.203718,,,,7.85398e-5
1:1 (rep 1),1-Compress,0.633,2.664,0.034,0.009,,0.0126019,114.592,,1.26019,0.114592,,,,7.85398e-5
