SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
1:1 (rep 2),1-Compress,0,1.985,0,0.011,,0,140.056,,0,0.140056,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.033,1.984,0.001,0.011,,0.000503778,140.056,,0.0503778,0.140056,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.067,1.982,0.003,0.011,,0.00151134,140.056,,0.151134,0.140056,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.1,1.981,0.004,0.011,,0.00201511,140.056,,0.201511,0.140056,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.133,1.98,0.005,0.011,,0.00251889,140.056,,0.251889,0.140056,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.167,1.978,0.007,0.011,,0.00352645,140.056,,0.352645,0.140056,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.2,1.977,0.008,0.018,,0.00403023,229.183,,0.403023,0.229183,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.233,1.976,0.009,0.018,,0.00453401,229.183,,0.453401,0.229183,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.267,1.974,0.011,0.018,,0.00554156,229.183,,0.554156,0.229183,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.3,1.973,0.012,0.018,,0.00604534,229.183,,0.604534,0.229183,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.333,1.972,0.013,0.011,,0.00654912,140.056,,0.654912,0.140056,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.367,1.97,0.015,0.011,,0.00755668,140.056,,0.755668,0.140056,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.4,1.969,0.016,0.011,,0.00806045,140.056,,0.806045,0.140056,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.433,1.968,0.017,0.011,,0.00856423,140.056,,0.856423,0.140056,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.467,1.966,0.019,0.011,,0.00957179,140.056,,0.957179,0.140056,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.5,1.965,0.02,0.018,,0.0100756,229.183,,1.00756,0.229183,,,,7.85398e-5
1:1 (rep 2),1-Compress,0.533,1.964,0.021,0.018,,0.0105793,229.183,,1.05793,0.229183,,,,7.85398e-5
