SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
Test1,1-Compress,0.000,3.066,-0,-0.027,,0,-343.775,,0,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.033,3.064,0.002,-0.027,,0.000652316,-343.775,,0.0652316,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.067,3.062,0.004,-0.027,,0.00130463,-343.775,,0.130463,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.100,3.06,0.006,-0.027,,0.00195695,-343.775,,0.195695,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.133,3.058,0.008,-0.027,,0.00260926,-343.775,,0.260926,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.167,3.056,0.01,-0.020,,0.00326158,-254.648,,0.326158,-0.254648,,,,7.85398e-5
Test1,1-Compress,0.200,3.054,0.012,-0.020,,0.00391389,-254.648,,0.391389,-0.254648,,,,7.85398e-5
Test1,1-Compress,0.233,3.052,0.014,-0.020,,0.00456621,-254.648,,0.456621,-0.254648,,,,7.85398e-5
Test1,1-Compress,0.267,3.05,0.016,-0.020,,0.00521853,-254.648,,0.521853,-0.254648,,,,7.85398e-5
Test1,1-Compress,0.300,3.048,0.018,-0.020,,0.00587084,-254.648,,0.587084,-0.254648,,,,7.85398e-5
Test1,1-Compress,0.333,3.046,0.02,-0.027,,0.00652316,-343.775,,0.652316,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.367,3.044,0.022,-0.027,,0.00717547,-343.775,,0.717547,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.400,3.042,0.024,-0.027,,0.00782779,-343.775,,0.782779,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.433,3.04,0.026,-0.027,,0.0084801,-343.775,,0.84801,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.467,3.037,0.029,-0.027,,0.00945858,-343.775,,0.945858,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.500,3.036,0.03,-0.020,,0.00978474,-254.648,,0.978474,-0.254648,,,,7.85398e-5
Test1,1-Compress,0.533,3.034,0.032,-0.020,,0.0104371,-254.648,,1.04371,-0.254648,,,,7.85398e-5
Test1,1-Compress,0.567,3.031,0.035,-0.020,,0.0114155,-254.648,,1.14155,-0.254648,,,,7.85398e-5
Test1,1-Compress,0.600,3.029,0.037,-0.020,,0.0120678,-254.648,,1.20678,-0.254648,,,,7.85398e-5
Test1,1-Compress,0.633,3.027,0.039,-0.027,,0.0127202,-343.775,,1.27202,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.667,3.025,0.041,-0.027,,0.0133725,-343.775,,1.33725,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.700,3.023,0.043,-0.027,,0.0140248,-343.775,,1.40248,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.733,3.021,0.045,-0.027,,0.0146771,-343.775,,1.46771,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.767,3.019,0.047,-0.027,,0.0153294,-343.775,,1.53294,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.800,3.017,0.049,-0.027,,0.0159817,-343.775,,1.59817,-0.343775,,,,7.85398e-5
Test1,1-Compress,0.833,3.016,0.05,-0.020,,0.0163079,-254.648,,1.63079,-0.254648,,,,7.85398e-5
Test1,1-Compress,0.867,3.013,0.053,-0.014,,0.0172864,-178.254,,1.72864,-0.178254,,,,7.85398e-5
