SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
Test1,1-Compress,0.000,1.574,-0,-0.005,,0,-63.662,,0,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.033,1.572,0.002,-0.005,,0.00127065,-63.662,,0.127065,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.067,1.571,0.003,-0.005,,0.00190597,-63.662,,0.190597,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.100,1.57,0.004,-0.005,,0.0025413,-63.662,,0.25413,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.133,1.57,0.004,-0.005,,0.0025413,-63.662,,0.25413,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.167,1.568,0.006,-0.005,,0.00381194,-63.662,,0.381194,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.200,1.567,0.007,-0.005,,0.00444727,-63.662,,0.444727,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.233,1.567,0.007,0.002,,0.00444727,25.4648,,0.444727,0.0254648,,,,7.85398e-5
Test1,1-Compress,0.267,1.565,0.009,0.002,,0.00571792,25.4648,,0.571792,0.0254648,,,,7.85398e-5
Test1,1-Compress,0.300,1.564,0.01,0.009,,0.00635324,114.592,,0.635324,0.114592,,,,7.85398e-5
Test1,1-Compress,0.333,1.563,0.011,0.009,,0.00698856,114.592,,0.698856,0.114592,,,,7.85398e-5
Test1,1-Compress,0.367,1.562,0.012,0.002,,0.00762389,25.4648,,0.762389,0.0254648,,,,7.85398e-5
Test1,1-Compress,0.400,1.561,0.013,-0.005,,0.00825921,-63.662,,0.825921,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.433,1.56,0.014,-0.005,,0.00889454,-63.662,,0.889454,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.467,1.559,0.015,-0.005,,0.00952986,-63.662,,0.952986,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.500,1.558,0.016,-0.005,,0.0101652,-63.662,,1.01652,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.533,1.557,0.017,-0.005,,0.0108005,-63.662,,1.08005,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.567,1.556,0.018,0.002,,0.0114358,25.4648,,1.14358,0.0254648,,,,7.85398e-5
Test1,1-Compress,0.600,1.555,0.019,0.009,,0.0120712,114.592,,1.20712,0.114592,,,,7.85398e-5
Test1,1-Compress,0.633,1.554,0.02,0.009,,0.0127065,114.592,,1.27065,0.114592,,,,7.85398e-5
Test1,1-Compress,0.667,1.553,0.021,0.002,,0.0133418,25.4648,,1.33418,0.0254648,,,,7.85398e-5
Test1,1-Compress,0.700,1.551,0.023,-0.005,,0.0146125,-63.662,,1.46125,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.733,1.551,0.023,-0.005,,0.0146125,-63.662,,1.46125,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.767,1.549,0.025,-0.005,,0.0158831,-63.662,,1.58831,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.800,1.549,0.025,-0.005,,0.0158831,-63.662,,1.58831,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.833,1.547,0.027,-0.005,,0.0171537,-63.662,,1.71537,-0.063662,,,,7.85398e-5
Test1,1-Compress,0.867,1.546,0.028,0.002,,0.0177891,25.4648,,1.77891,0.0254648,,,,7.85398e-5
Test1,1-Compress,0.900,1.545,0.029,0.002,,0.0184244,25.4648,,1.84244,0.0254648,,,,7.85398e-5
Test1,1-Compress,0.933,1.544,0.03,0.009,,0.0190597,114.592,,1.90597,0.114592,,,,7.85398e-5
Test1,1-Compress,0.967,1.543,0.031,0.009,,0.019695,114.592,,1.9695,0.114592,,,,7.85398e-5
Test1,1-Compress,1.000,1.542,0.032,0.002,,0.0203304,25.4648,,2.03304,0.0254648,,,,7.85398e-5
Test1,1-Compress,1.033,1.541,0.033,-0.005,,0.0209657,-63.662,,2.09657,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.067,1.54,0.034,-0.005,,0.021601,-63.662,,2.1601,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.100,1.539,0.035,-0.005,,0.0222363,-63.662,,2.22363,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.133,1.538,0.036,-0.005,,0.0228717,-63.662,,2.28717,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.167,1.537,0.037,-0.005,,0.023507,-63.662,,2.3507,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.200,1.536,0.038,0.002,,0.0241423,25.4648,,2.41423,0.0254648,,,,7.85398e-5
Test1,1-Compress,1.233,1.535,0.039,0.002,,0.0247776,25.4648,,2.47776,0.0254648,,,,7.85398e-5
Test1,1-Compress,1.267,1.534,0.04,0.009,,0.025413,114.592,,2.5413,0.114592,,,,7.85398e-5
Test1,1-Compress,1.300,1.533,0.041,0.009,,0.0260483,114.592,,2.60483,0.114592,,,,7.85398e-5
Test1,1-Compress,1.333,1.532,0.042,0.002,,0.0266836,25.4648,,2.66836,0.0254648,,,,7.85398e-5
Test1,1-Compress,1.367,1.53,0.044,-0.005,,0.0279543,-63.662,,2.79543,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.400,1.53,0.044,-0.005,,0.0279543,-63.662,,2.79543,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.433,1.529,0.045,-0.005,,0.0285896,-63.662,,2.85896,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.467,1.528,0.046,-0.005,,0.0292249,-63.662,,2.92249,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.500,1.526,0.048,-0.005,,0.0304956,-63.662,,3.04956,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.533,1.526,0.048,0.002,,0.0304956,25.4648,,3.04956,0.0254648,,,,7.85398e-5
Test1,1-Compress,1.567,1.524,0.05,0.002,,0.0317662,25.4648,,3.17662,0.0254648,,,,7.85398e-5
Test1,1-Compress,1.600,1.523,0.051,0.009,,0.0324015,114.592,,3.24015,0.114592,,,,7.85398e-5
Test1,1-Compress,1.633,1.522,0.052,0.002,,0.0330368,25.4648,,3.30368,0.0254648,,,,7.85398e-5
Test1,1-Compress,1.667,1.521,0.053,-0.005,,0.0336722,-63.662,,3.36722,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.700,1.52,0.054,-0.005,,0.0343075,-63.662,,3.43075,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.733,1.519,0.055,-0.005,,0.0349428,-63.662,,3.49428,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.767,1.518,0.056,-0.005,,0.0355781,-63.662,,3.55781,-0.063662,,,,7.85398e-5
Test1,1-Compress,1.800,1.517,0.057,-0.005,,0.0362135,-63.662,,3.62135,-0.063662,,,,7.85398e-5
