SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
Test1,1-Compress,0.000,2.069,-0,0.020,,0,254.648,,0,0.254648,,,,7.85398e-5
Test1,1-Compress,0.033,2.067,0.002,-0.000,,0.000966651,0,,0.0966651,0,,,,7.85398e-5
Test1,1-Compress,0.067,2.066,0.003,0.007,,0.00144998,89.1268,,0.144998,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.100,2.065,0.004,-0.000,,0.0019333,0,,0.19333,0,,,,7.85398e-5
Test1,1-Compress,0.133,2.063,0.006,-0.000,,0.00289995,0,,0.289995,0,,,,7.85398e-5
Test1,1-Compress,0.167,2.062,0.007,-0.000,,0.00338328,0,,0.338328,0,,,,7.85398e-5
Test1,1-Compress,0.200,2.061,0.008,-0.000,,0.0038666,0,,0.38666,0,,,,7.85398e-5
Test1,1-Compress,0.233,2.06,0.009,-0.000,,0.00434993,0,,0.434993,0,,,,7.85398e-5
Test1,1-Compress,0.267,2.058,0.011,-0.000,,0.00531658,0,,0.531658,0,,,,7.85398e-5
Test1,1-Compress,0.300,2.056,0.013,-0.000,,0.00628323,0,,0.628323,0,,,,7.85398e-5
Test1,1-Compress,0.333,2.055,0.014,-0.000,,0.00676655,0,,0.676655,0,,,,7.85398e-5
Test1,1-Compress,0.367,2.054,0.015,0.007,,0.00724988,89.1268,,0.724988,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.400,2.052,0.017,0.007,,0.00821653,89.1268,,0.821653,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.433,2.051,0.018,0.007,,0.00869986,89.1268,,0.869986,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.467,2.05,0.019,-0.000,,0.00918318,0,,0.918318,0,,,,7.85398e-5
Test1,1-Compress,0.500,2.048,0.021,-0.000,,0.0101498,0,,1.01498,0,,,,7.85398e-5
Test1,1-Compress,0.533,2.047,0.022,0.007,,0.0106332,89.1268,,1.06332,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.567,2.045,0.024,0.014,,0.0115998,178.254,,1.15998,0.178254,,,,7.85398e-5
Test1,1-Compress,0.600,2.044,0.025,0.014,,0.0120831,178.254,,1.20831,0.178254,,,,7.85398e-5
Test1,1-Compress,0.633,2.043,0.026,0.007,,0.0125665,89.1268,,1.25665,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.667,2.041,0.028,0.007,,0.0135331,89.1268,,1.35331,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.700,2.04,0.029,0.007,,0.0140164,89.1268,,1.40164,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.733,2.038,0.031,0.007,,0.0149831,89.1268,,1.49831,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.767,2.037,0.032,-0.000,,0.0154664,0,,1.54664,0,,,,7.85398e-5
Test1,1-Compress,0.800,2.036,0.033,-0.000,,0.0159497,0,,1.59497,0,,,,7.85398e-5
Test1,1-Compress,0.833,2.034,0.035,-0.000,,0.0169164,0,,1.69164,0,,,,7.85398e-5
Test1,1-Compress,0.867,2.033,0.036,-0.000,,0.0173997,0,,1.73997,0,,,,7.85398e-5
Test1,1-Compress,0.900,2.032,0.037,0.007,,0.017883,89.1268,,1.7883,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.933,2.03,0.039,0.007,,0.0188497,89.1268,,1.88497,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.967,2.029,0.04,0.007,,0.019333,89.1268,,1.9333,0.0891268,,,,7.85398e-5
