SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
Test1,1-Compress,0.000,1.776,-0,-0.000,,0,0,,0,0,,,,7.85398e-5
Test1,1-Compress,0.033,1.774,0.002,-0.000,,0.00112613,0,,0.112613,0,,,,7.85398e-5
Test1,1-Compress,0.067,1.773,0.003,-0.000,,0.00168919,0,,0.168919,0,,,,7.85398e-5
Test1,1-Compress,0.100,1.772,0.004,-0.000,,0.00225225,0,,0.225225,0,,,,7.85398e-5
Test1,1-Compress,0.133,1.771,0.005,-0.000,,0.00281532,0,,0.281532,0,,,,7.85398e-5
Test1,1-Compress,0.167,1.77,0.006,-0.000,,0.00337838,0,,0.337838,0,,,,7.85398e-5
Test1,1-Compress,0.200,1.768,0.008,-0.000,,0.0045045,0,,0.45045,0,,,,7.85398e-5
Test1,1-Compress,0.233,1.767,0.009,-0.000,,0.00506757,0,,0.506757,0,,,,7.85398e-5
Test1,1-Compress,0.267,1.766,0.01,-0.000,,0.00563063,0,,0.563063,0,,,,7.85398e-5
Test1,1-Compress,0.300,1.765,0.011,-0.000,,0.00619369,0,,0.619369,0,,,,7.85398e-5
Test1,1-Compress,0.333,1.764,0.012,-0.000,,0.00675676,0,,0.675676,0,,,,7.85398e-5
Test1,1-Compress,0.367,1.763,0.013,-0.000,,0.00731982,0,,0.731982,0,,,,7.85398e-5
Test1,1-Compress,0.400,1.761,0.015,-0.000,,0.00844595,0,,0.844595,0,,,,7.85398e-5
Test1,1-Compress,0.433,1.761,0.015,-0.000,,0.00844595,0,,0.844595,0,,,,7.85398e-5
Test1,1-Compress,0.467,1.759,0.017,-0.000,,0.00957207,0,,0.957207,0,,,,7.85398e-5
Test1,1-Compress,0.500,1.758,0.018,-0.000,,0.0101351,0,,1.01351,0,,,,7.85398e-5
Test1,1-Compress,0.533,1.757,0.019,-0.000,,0.0106982,0,,1.06982,0,,,,7.85398e-5
Test1,1-Compress,0.567,1.755,0.021,-0.000,,0.0118243,0,,1.18243,0,,,,7.85398e-5
Test1,1-Compress,0.600,1.755,0.021,-0.000,,0.0118243,0,,1.18243,0,,,,7.85398e-5
Test1,1-Compress,0.633,1.753,0.023,-0.000,,0.0129505,0,,1.29505,0,,,,7.85398e-5
Test1,1-Compress,0.667,1.752,0.024,-0.000,,0.0135135,0,,1.35135,0,,,,7.85398e-5
Test1,1-Compress,0.700,1.751,0.025,-0.000,,0.0140766,0,,1.40766,0,,,,7.85398e-5
Test1,1-Compress,0.733,1.75,0.026,-0.000,,0.0146396,0,,1.46396,0,,,,7.85398e-5
Test1,1-Compress,0.767,1.748,0.028,-0.000,,0.0157658,0,,1.57658,0,,,,7.85398e-5
Test1,1-Compress,0.800,1.747,0.029,0.007,,0.0163288,89.1268,,1.63288,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.833,1.746,0.03,0.007,,0.0168919,89.1268,,1.68919,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.867,1.745,0.031,-0.000,,0.017455,0,,1.7455,0,,,,7.85398e-5
Test1,1-Compress,0.900,1.743,0.033,-0.000,,0.0185811,0,,1.85811,0,,,,7.85398e-5
Test1,1-Compress,0.933,1.743,0.033,-0.000,,0.0185811,0,,1.85811,0,,,,7.85398e-5
Test1,1-Compress,0.967,1.741,0.035,-0.000,,0.0197072,0,,1.97072,0,,,,7.85398e-5
Test1,1-Compress,1.000,1.74,0.036,-0.000,,0.0202703,0,,2.02703,0,,,,7.85398e-5
Test1,1-Compress,1.033,1.739,0.037,-0.000,,0.0208333,0,,2.08333,0,,,,7.85398e-5
Test1,1-Compress,1.067,1.737,0.039,-0.000,,0.0219595,0,,2.19595,0,,,,7.85398e-5
Test1,1-Compress,1.100,1.737,0.039,-0.000,,0.0219595,0,,2.19595,0,,,,7.85398e-5
Test1,1-Compress,1.133,1.735,0.041,-0.000,,0.0230856,0,,2.30856,0,,,,7.85398e-5
Test1,1-Compress,1.167,1.734,0.042,-0.000,,0.0236486,0,,2.36486,0,,,,7.85398e-5
Test1,1-Compress,1.200,1.733,0.043,-0.000,,0.0242117,0,,2.42117,0,,,,7.85398e-5
Test1,1-Compress,1.233,1.732,0.044,-0.000,,0.0247748,0,,2.47748,0,,,,7.85398e-5
Test1,1-Compress,1.267,1.73,0.046,-0.000,,0.0259009,0,,2.59009,0,,,,7.85398e-5
Test1,1-Compress,1.300,1.73,0.046,-0.000,,0.0259009,0,,2.59009,0,,,,7.85398e-5
Test1,1-Compress,1.333,1.728,0.048,-0.000,,0.027027,0,,2.7027,0,,,,7.85398e-5
Test1,1-Compress,1.367,1.727,0.049,-0.000,,0.0275901,0,,2.75901,0,,,,7.85398e-5
Test1,1-Compress,1.400,1.726,0.05,-0.000,,0.0281532,0,,2.81532,0,,,,7.85398e-5
Test1,1-Compress,1.433,1.725,0.051,-0.000,,0.0287162,0,,2.87162,0,,,,7.85398e-5
Test1,1-Compress,1.467,1.724,0.052,-0.000,,0.0292793,0,,2.92793,0,,,,7.85398e-5
Test1,1-Compress,1.500,1.722,0.054,-0.000,,0.0304054,0,,3.04054,0,,,,7.85398e-5
Test1,1-Compress,1.533,1.721,0.055,-0.000,,0.0309685,0,,3.09685,0,,,,7.85398e-5
Test1,1-Compress,1.567,1.72,0.056,-0.000,,0.0315315,0,,3.15315,0,,,,7.85398e-5
Test1,1-Compress,1.600,1.719,0.057,-0.000,,0.0320946,0,,3.20946,0,,,,7.85398e-5
Test1,1-Compress,1.633,1.718,0.058,-0.000,,0.0326577,0,,3.26577,0,,,,7.85398e-5
Test1,1-Compress,1.667,1.716,0.06,-0.000,,0.0337838,0,,3.37838,0,,,,7.85398e-5
Test1,1-Compress,1.700,1.715,0.061,-0.000,,0.0343468,0,,3.43468,0,,,,7.85398e-5
Test1,1-Compress,1.733,1.714,0.062,-0.000,,0.0349099,0,,3.49099,0,,,,7.85398e-5
Test1,1-Compress,1.767,1.713,0.063,-0.000,,0.035473,0,,3.5473,0,,,,7.85398e-5
Test1,1-Compress,1.800,1.712,0.064,-0.000,,0.036036,0,,3.6036,0,,,,7.85398e-5
Test1,1-Compress,1.833,1.71,0.066,-0.000,,0.0371622,0,,3.71622,0,,,,7.85398e-5
Test1,1-Compress,1.867,1.709,0.067,-0.000,,0.0377252,0,,3.77252,0,,,,7.85398e-5
Test1,1-Compress,1.900,1.708,0.068,-0.000,,0.0382883,0,,3.82883,0,,,,7.85398e-5
Test1,1-Compress,1.933,1.707,0.069,-0.000,,0.0388514,0,,3.88514,0,,,,7.85398e-5
Test1,1-Compress,1.967,1.706,0.07,-0.000,,0.0394144,0,,3.94144,0,,,,7.85398e-5
Test1,1-Compress,2.000,1.704,0.072,-0.000,,0.0405405,0,,4.05405,0,,,,7.85398e-5
Test1,1-Compress,2.033,1.703,0.073,-0.000,,0.0411036,0,,4.11036,0,,,,7.85398e-5
Test1,1-Compress,2.067,1.702,0.074,-0.000,,0.0416667,0,,4.16667,0,,,,7.85398e-5
Test1,1-Compress,2.100,1.701,0.075,-0.000,,0.0422297,0,,4.22297,0,,,,7.85398e-5
Test1,1-Compress,2.133,1.7,0.076,-0.000,,0.0427928,0,,4.27928,0,,,,7.85398e-5
Test1,1-Compress,2.167,1.699,0.077,0.007,,0.0433559,89.1268,,4.33559,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.200,1.697,0.079,0.007,,0.044482,89.1268,,4.4482,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.233,1.697,0.079,-0.000,,0.044482,0,,4.4482,0,,,,7.85398e-5
Test1,1-Compress,2.267,1.695,0.081,-0.000,,0.0456081,0,,4.56081,0,,,,7.85398e-5
Test1,1-Compress,2.300,1.694,0.082,-0.000,,0.0461712,0,,4.61712,0,,,,7.85398e-5
Test1,1-Compress,2.333,1.693,0.083,-0.000,,0.0467342,0,,4.67342,0,,,,7.85398e-5
Test1,1-Compress,2.367,1.691,0.085,-0.000,,0.0478604,0,,4.78604,0,,,,7.85398e-5
Test1,1-Compress,2.400,1.69,0.086,-0.000,,0.0484234,0,,4.84234,0,,,,7.85398e-5
Test1,1-Compress,2.433,1.689,0.087,-0.000,,0.0489865,0,,4.89865,0,,,,7.85398e-5
Test1,1-Compress,2.467,1.688,0.088,-0.000,,0.0495495,0,,4.95495,0,,,,7.85398e-5
Test1,1-Compress,2.500,1.687,0.089,-0.000,,0.0501126,0,,5.01126,0,,,,7.85398e-5
Test1,1-Compress,2.533,1.686,0.09,-0.000,,0.0506757,0,,5.06757,0,,,,7.85398e-5
Test1,1-Compress,2.567,1.684,0.092,-0.000,,0.0518018,0,,5.18018,0,,,,7.85398e-5
Test1,1-Compress,2.600,1.683,0.093,-0.000,,0.0523649,0,,5.23649,0,,,,7.85398e-5
Test1,1-Compress,2.633,1.682,0.094,-0.000,,0.0529279,0,,5.29279,0,,,,7.85398e-5
Test1,1-Compress,2.667,1.681,0.095,-0.000,,0.053491,0,,5.3491,0,,,,7.85398e-5
Test1,1-Compress,2.700,1.679,0.097,-0.000,,0.0546171,0,,5.46171,0,,,,7.85398e-5
Test1,1-Compress,2.733,1.679,0.097,-0.000,,0.0546171,0,,5.46171,0,,,,7.85398e-5
Test1,1-Compress,2.767,1.677,0.099,-0.000,,0.0557432,0,,5.57432,0,,,,7.85398e-5
Test1,1-Compress,2.800,1.676,0.1,0.007,,0.0563063,89.1268,,5.63063,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.833,1.675,0.101,0.007,,0.0568694,89.1268,,5.68694,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.867,1.673,0.103,-0.000,,0.0579955,0,,5.79955,0,,,,7.85398e-5
Test1,1-Compress,2.900,1.672,0.104,-0.000,,0.0585586,0,,5.85586,0,,,,7.85398e-5
Test1,1-Compress,2.933,1.671,0.105,-0.000,,0.0591216,0,,5.91216,0,,,,7.85398e-5
Test1,1-Compress,2.967,1.67,0.106,-0.000,,0.0596847,0,,5.96847,0,,,,7.85398e-5
Test1,1-Compress,3.000,1.669,0.107,-0.000,,0.0602477,0,,6.02477,0,,,,7.85398e-5
Test1,1-Compress,3.033,1.668,0.108,-0.000,,0.0608108,0,,6.08108,0,,,,7.85398e-5
Test1,1-Compress,3.067,1.666,0.11,-0.000,,0.0619369,0,,6.19369,0,,,,7.85398e-5
Test1,1-Compress,3.100,1.666,0.11,-0.000,,0.0619369,0,,6.19369,0,,,,7.85398e-5
Test1,1-Compress,3.133,1.664,0.112,-0.000,,0.0630631,0,,6.30631,0,,,,7.85398e-5
Test1,1-Compress,3.167,1.663,0.113,-0.000,,0.0636261,0,,6.36261,0,,,,7.85398e-5
Test1,1-Compress,3.200,1.662,0.114,-0.000,,0.0641892,0,,6.41892,0,,,,7.85398e-5
Test1,1-Compress,3.233,1.661,0.115,-0.000,,0.0647523,0,,6.47523,0,,,,7.85398e-5
